id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
1,邵艺辉,9.1,好东西,"宋佳,钟楚曦,曾慕梅,章宇,赵又廷",2024,"剧情,爱情",中国大陆,汉语普通话,2024-11-22,23,149521,"65.6%,27.6%,5.6%,0.8%,0.4%"
2,赵一龙,7.5,永夜星河,"虞书欣,丁禹兮,祝绪丹,杨仕泽,陈都灵",2024,"爱情,古装",中国大陆,汉语普通话,2024-11-01,45,297858,"25.0%,37.6%,27.0%,6.8%,3.6%"
3,张开宙,8.2,小巷人家,"闫妮,李光洁,郭晓东,蒋欣,范丞丞",2024,剧情,中国大陆,汉语普通话,2024-10-28,56,84327,"31.1%,49.9%,15.7%,2.0%,1.3%"
4,"谢泽,陈熙泰",6.1,珠帘玉幕,"赵露思,刘宇宁,唐晓天,尚新月,谢可寅",2024,"剧情,爱情,古装",中国大陆,汉语普通话,2024-11-01,44,132086,"18.8%,20.3%,24.3%,21.1%,15.6%"
5,刘循子墨,6.7,胜券在握,"邓超,邓家佳,郑云龙,喻恩泰,张本煜",2024,剧情,中国大陆,汉语普通话,2024-11-15,135,29692,"14.9%,28.3%,38.1%,15.3%,3.5%"
6,五百,6.3,浴火之路,"肖央,赵丽颖,刘烨,冯德伦,吴晓亮",2024,"剧情,犯罪","中国大陆,中国香港",汉语普通话,2024-10-01,126,132848,"9.7%,23.4%,45.0%,16.2%,5.8%"
7,"落落,魏楠",5.1,大梦归离,"侯明昊,陈都灵,田嘉瑞,程潇,林子烨",2024,"剧情,爱情,奇幻,古装",中国大陆,汉语普通话,2024-10-26,82,68872,"10.4%,11.8%,23.8%,28.4%,25.6%"
8,尹丽川 ,8.9,出走的决心,"咏梅,姜武,吴倩,张本煜,马苏",2024,"剧情,家庭",中国大陆,"汉语普通话,河南方言,四川方言",2024-09-15,106,146527,"57.4%,33.7%,7.7%,0.8%,0.4%"
9,潘耀明,7.3,焚城,"刘德华,白宇,莫文蔚,谢君豪,王菀之",2024,"剧情,动作,灾难","中国香港,中国大陆","粤语,汉语普通话",2024-11-01,136,75807,"15.2%,41.0%,36.3%,6.4%,1.2%"
10,严艺文,8.0,影后,"谢盈萱,杨谨华,薛仕凌,陈庭妮,谢琼煖",2024,"剧情,喜剧",中国台湾,汉语普通话,2024-11-07,63,25644,"30.6%,43.5%,21.3%,3.5%,1.1%"
11,科拉莉·法尔雅,7.5,某种物质,"黛米·摩尔,玛格丽特·库里,丹尼斯·奎德,爱德华·汉密尔顿-克拉克,戈雷·阿布拉姆斯",2024,"剧情,恐怖","法国,英国,美国",英语,2024-05-19,141,121009,"21.4%,42.6%,28.0%,5.7%,2.4%"
12,朱塞佩·托纳多雷,9.3,海上钢琴师,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,克兰伦斯·威廉姆斯三世,梅兰尼·蒂埃里",1998,"剧情,音乐",意大利,"英语,法语,意大利语",2019-11-15,165,1781869,"71.0%,24.0%,4.4%,0.4%,0.2%"
13,押山清高,8.2,蓦然回首,"河合优实,吉田美月喜,齐藤阳一郎,森川智之,坂本真绫",2024,"剧情,动画",日本,日语,2024-10-26,75,85515,"34.0%,45.1%,18.5%,2.1%,0.3%"
14,"郭虎,任海涛",8.5,莲花楼,"成毅,曾舜晞,肖顺尧,陈都灵,王鹤润",2023,"剧情,悬疑,武侠,古装",中国大陆,汉语普通话,2023-07-23,80,773913,"46.9%,36.8%,12.9%,2.1%,1.4%"
15,"闫非,彭大魔",7.1,抓娃娃,"沈腾,马丽,史彭元,萨日娜,肖帛辰",2024,喜剧,中国大陆,"汉语普通话,英语",2024-07-16,133,666365,"14.1%,40.2%,36.0%,7.2%,2.4%"
